,rouge1,rouge2,rougeL,f1,sas,bertscore
114,0.28,0.14,0.19,0.14,0.7181812,0.96
115,0.01,0.0,0.01,0.0,0.467804,0.53
116,0.02,0.0,0.02,0.01,0.6454526,0.56
117,0.35,0.1,0.2,0.2,0.5615309,0.97
118,0.41,0.17,0.24,0.2,0.7002578,0.95
119,0.41,0.05,0.21,0.17,0.43293312,0.97
120,0.07,0.01,0.04,0.01,0.44136822,0.57
121,0.37,0.1,0.21,0.25,0.66858834,0.96
122,0.37,0.05,0.22,0.19,0.594477,0.96
123,0.27,0.05,0.14,0.14,0.5500644,0.95
124,0.25,0.2,0.19,0.19,0.661911,0.88
125,0.08,0.0,0.07,0.03,0.5877119,0.58
126,0.03,0.0,0.03,0.01,0.46231696,0.52
127,0.31,0.05,0.17,0.13,0.61891013,0.96
128,0.02,0.0,0.02,0.02,0.46440598,0.53
129,0.03,0.0,0.03,0.01,0.5494384,0.48
130,0.25,0.0,0.14,0.12,0.64145005,0.96
131,0.01,0.0,0.01,0.0,0.5239133,0.45
132,0.01,0.0,0.01,0.01,0.4965749,0.44
133,0.26,0.07,0.19,0.14,0.6612256,0.96
134,0.43,0.1,0.2,0.25,0.7108632,0.96
135,0.14,0.02,0.1,0.07,0.5308967,0.91
136,0.39,0.26,0.3,0.2,0.6724864,0.97
137,0.02,0.0,0.02,0.01,0.61699843,0.53
138,0.35,0.07,0.24,0.13,0.53243005,0.96
139,0.19,0.06,0.13,0.12,0.6062824,0.92
140,0.16,0.01,0.1,0.07,0.56037575,0.94
141,0.34,0.03,0.14,0.21,0.5866415,0.95
142,0.05,0.0,0.03,0.02,0.47954085,0.57
143,0.24,0.06,0.2,0.22,0.43654656,0.95
144,0.4,0.09,0.2,0.19,0.72201604,0.98
145,0.11,0.03,0.1,0.04,0.6037967,0.75
146,0.03,0.0,0.02,0.02,0.5001999,0.56
147,0.42,0.08,0.23,0.24,0.6634094,0.9
148,0.42,0.09,0.2,0.19,0.49176645,0.98
