,rouge1,rouge2,rougeL,f1,sas,bertscore
121,0.25,0.19,0.22,0.23,0.46877214,0.93
122,0.36,0.1,0.26,0.19,0.5267743,0.96
123,0.29,0.07,0.16,0.15,0.5202724,0.94
124,0.58,0.5,0.53,0.45,0.69813216,0.98
125,0.29,0.04,0.18,0.13,0.5377096,0.95
126,0.32,0.02,0.17,0.16,0.5880961,0.95
127,0.38,0.11,0.21,0.16,0.57606393,0.94
128,0.13,0.0,0.06,0.07,0.28831235,0.86
129,0.22,0.04,0.14,0.12,0.58898383,0.95
130,0.31,0.06,0.22,0.17,0.49273902,0.94
131,0.27,0.04,0.2,0.18,0.3498989,0.94
132,0.27,0.05,0.18,0.16,0.56305534,0.97
133,0.23,0.04,0.16,0.13,0.63700867,0.95
134,0.34,0.1,0.21,0.16,0.69249165,0.94
135,0.27,0.03,0.14,0.1,0.5347939,0.95
136,0.09,0.08,0.08,0.07,0.73086697,0.87
137,0.1,0.04,0.08,0.07,0.75361884,0.87
138,0.28,0.05,0.21,0.18,0.3926292,0.97
139,0.14,0.04,0.09,0.1,0.63930976,0.92
140,0.2,0.03,0.13,0.12,0.541386,0.94
141,0.34,0.06,0.18,0.22,0.5757792,0.94
142,0.45,0.09,0.21,0.18,0.670613,0.98
143,0.26,0.1,0.14,0.13,0.4167876,0.93
144,0.44,0.11,0.22,0.16,0.72135353,0.97
145,0.52,0.45,0.5,0.39,0.77020967,0.97
146,0.21,0.09,0.14,0.17,0.6883948,0.92
147,0.31,0.08,0.18,0.13,0.6313265,0.96
148,0.35,0.03,0.16,0.19,0.46181595,0.97
