,palabra,sinonimos
64,ámbito territorial,"['ámbito de aplicación territorial', 'ámbito de aplicación']"
65,derecho de los consumidores,"['legislación en materia de protección de los consumidores', 'derecho en materia de protección de los consumidores', 'consumidores', 'economato', 'organización de consumidores', 'legislación en materia de protección de los consumidores', 'plan de acción en favor de los consumidores', 'política de consumo']"
66,ley de enjuiciamiento civil,"['ley', 'ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
67,aplicación,"['despliegue', 'implementación', 'aplicar', 'un sistema de precios mínimos', 'en sustitución de los contingentes']"
68,entidad jurídica,"['entidad legal', 'ente jurídico']"
69,hora extraordinaria,"['hora extra', 'jornada', 'jornada de trabajo', 'día laborable', 'jornada laboral', 'horario de trabajo', 'hora de trabajo']"
70,especialización profesional,['reciclaje de conocimientos']
71,defensor judicial,"['abogacía', 'colegio de abogados']"
72,extinción del contrato,"['extinción de la relación laboral', 'despido']"
73,paro,['índice de desempleo']
74,acuerdo interprofesional,"['contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
75,asalariado,"['trabajador asalariado', 'categoría profesional', 'trabajador', 'empleado', 'miembro del personal']"
76,personal adscrito,['personal']
77,derecho de la seguridad social,"['seguridad social', 'protección social', 'seguro social', 'sistema de previsión social', 'previsión social']"
78,administración central,"['administración', 'ubicación del organismo público']"
79,sede de la administración,['ubicación del organismo público']
80,concertación social,['concertación']
81,costes ambientales,['coste ecológico']
82,profesión,"['carrera profesional', 'profesiones', 'profesion']"
83,pluriempleo,['actividad complementaria']
84,discriminación por razones de estado civil,"['discriminación', 'discriminación social', 'discriminación de género', 'discriminador', 'discriminatorio']"
85,traslado,"['cambio de puesto', 'cambio de lugar de trabajo']"
86,contrato,"['contrato laboral', 'contrato por internet', 'acuerdo', 'convenio', 'contratación']"
87,permiso retribuido,['permiso']
88,domicilio legal,['personalidad jurídica']
89,exclusión social,['marginación social']
90,consejero,"['miembro del consejo de gobierno', 'trabajador por cuenta propia', 'conseller', 'ministro']"
91,ausencia del trabajo,"['ausencia', 'ausencia']"
92,acción positiva,"['acción', 'programa de acción']"
93,administración pública,"['administración del estado', 'gestion publica', 'administración publica', 'oficinas publicas', 'administracion pública', 'oficinas públicas', 'gestión pública', 'gestión publica', 'gestion pública', 'administraciones públicas', 'administracion del estado', 'administracion publica', 'administraciones publicas', 'administración central']"
94,pensionista,"['rentista', 'retirado', 'jubilado', 'pensión', 'pensión (hospedaje)', 'posada secreta', 'casa de huéspedes']"
95,profesión jurídica,"['procurador', 'profesión', 'carrera profesional', 'profesiones', 'profesion']"
96,medida,['unidad de medida']
97,contrato de interinidad,"['trabajo interino', 'contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
98,movimiento social,['movimientos sociales']
99,responsabilidad,"['responsabilidad por los daños ecológicos', 'responsabilidad pública', 'responsabilidad legal', 'responsabilidad medioambiental de la empresa', 'utilización pacífica del espacio', 'sociedad limitada', 'responsabilidad del gobierno', 'minoría de edad en derecho penal', 'responsabilidad de la administración pública', 'responsabilidad por vicios ocultos', 'acción por daños y perjuicios']"
100,descanso,"['pausa', 'recreo', 'baja', 'ausencia']"
101,puesto de trabajo,['puesto de trabajo de proceso de datos']
102,demanda,['escrito de recurso']
103,parque móvil,['parque automovilístico']
104,horario de trabajo,"['hora de trabajo', 'jornada', 'jornada de trabajo', 'día laborable', 'jornada laboral', 'horario']"
105,contrato de trabajo,"['contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
106,acto jurídico,"['acto legal', 'acto jurídico de la unión', 'accion legal', 'acción judicial', 'acción legal', 'acción', 'programa de acción']"
107,bienes y servicios,"['bienes fisicos y servicios intangibles', 'bienes físicos y servicios intangibles']"
108,trabajo a distancia,"['teletrabajo', 'trabajo atípico']"
109,salario,"['remuneración salarial', 'salario-hora profesional', 'salarial', 'tarifa de salarios', 'sueldo', 'jornal', 'nómina', 'salario móvil', 'honorarios', 'estipendio', 'salario por unidad de obra']"
110,principio de legalidad,['principio']
111,sindicación,"['sindicalismo', 'movimiento sindical', 'sindicato obrero']"
112,desempleo,"['subsidio de paro', 'falta de trabajo', 'tasa de desempleo', 'desocupacion', 'desocupación', 'cesantia', 'paro forzoso', 'cesantía']"
113,igualdad de remuneración por razón de sexo,"['igualdad salarial', 'igualdad de salario', 'igualdad']"
114,aprendizaje,"['técnica de aprendizaje', 'aprender']"
115,contrato público,"['objeto del contrato', 'contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
116,gratificación,"['sobresueldo', 'propina']"
117,marco,"['markka', 'merk', 'marc', 'marka', 'trama', 'mark']"
118,contaminación de los alimentos,"['contaminación alimentaria', 'contaminación', 'coste de los daños medioambientales', 'vertidos toxicos', 'contaminante', 'la contaminacion', 'contaminado', 'la contaminación', 'emision contaminante', 'contaminacion ambiental', 'contaminada', 'contaminar', 'contaminacion', 'polucion', 'contaminación ambiental', 'vertidos tóxicos', 'polución', 'emisión contaminante']"
119,sistema de alerta de la ue,['sistema de alerta rápida de la ue']
120,delegados de personal,"['representante de personal', 'representante sindical', 'delegado', 'delegada']"
121,red de centros europeos de los consumidores,"['red para la solución extrajudicial de litigios de consumo', 'educación del consumidor', 'consumidores', 'economato', 'organización de consumidores', 'legislación en materia de protección de los consumidores', 'plan de acción en favor de los consumidores', 'política de consumo']"
122,información,"['datos', 'informacion', 'información policial confidencial']"
123,convenio extraestatutario,"['convenio irregular', 'convenio colectivo extraestatutario', 'contrato colectivo extraestatutario', 'contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
124,incapacidad permanente,"['incapacidad', 'incapacidad civil', 'incapacidad contractual']"
125,comité de empresa,"['comité', 'procedimiento de comité']"
126,derecho penitenciario,['derecho']
127,contrato de relevo,"['contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
128,comercio integrado,"['comercio', 'pequeño comerciante']"
129,primacía del derecho,"['vigencia', 'cumplimiento de la ley', 'desarrollo de la ley', 'ejecución de la ley']"
130,conflicto colectivo,"['conflicto salarial', 'conflicto', 'conflicto dramatico', 'conflicto dramático']"
131,trabajo nocturno,"['jornada', 'jornada de trabajo', 'día laborable', 'jornada laboral', 'trabajo', 'empleo']"
132,titulación,"['valoración volumétrica', 'análisis volumétrico', 'valoración química', 'valoracion química', 'valoración', 'volumetría', 'titracion', 'valoracion volumetrica', 'titulacion', 'titración']"
133,aprobación del presupuesto,"['empresa', 'firma']"
134,renta no salarial,"['porcentaje', 'remuneración', 'salario', 'remuneración salarial', 'salario-hora profesional', 'salarial', 'tarifa de salarios', 'sueldo', 'jornal', 'nómina', 'salario móvil', 'honorarios', 'estipendio', 'salario por unidad de obra', 'renta', 'remuneración del capital', 'mercado de obligaciones', 'renta del ganadero', 'renta por habitante', 'retribución del trabajo', 'impuesto sobre la renta de sociedades', 'impuesto sobre la renta de las sociedades', 'renta agrícola', 'renta de aduanas', 'renta accesoria', 'irpf', 'asignación de la renta', 'certificado representativo de acciones', 'porcentaje', 'renta garantizada', 'declaración del patrimonio']"
135,salario mínimo interprofesional,"['salario garantizado', 'salario mínimo', 'política salarial']"
136,filosofía política,"['filosofia politica', 'filosofia política', 'teoría política', 'política', 'politica']"
137,equipo de trabajo,"['empresa', 'firma']"
138,procedimiento judicial,['procedimiento']
139,entidad del sector público,['ente del sector público']
140,accidente,"['probar con ejemplo', 'cobertura de riesgos de accidente', 'falacia dicto simpliciter', 'accidente falacia']"
141,despacho de abogados,"['abogado', 'licenciado', 'letrado', 'licenciado en derecho', 'abogados', 'abogada', 'abogadas', 'licenciada']"
142,autoridad europea de seguros y pensiones de jubilación,"['eiopa', 'autoridad', 'desviación de poder']"
143,formación profesional,"['formación preprofesional', 'formación', 'educación', 'enseñanza']"
144,administración local,"['administracion local', 'autoridad local', 'administración pública', 'administración del estado', 'gestion publica', 'administración publica', 'oficinas publicas', 'administracion pública', 'oficinas públicas', 'gestión pública', 'gestión publica', 'gestion pública', 'administraciones públicas', 'administracion del estado', 'administracion publica', 'administraciones publicas']"
145,tutela,"['tutela legal', 'derecho de familia', 'family law', 'derecho familiar', 'derecho de las familias']"
146,norma administrativa,"['ley', 'ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
147,unidad de negocio,['unidad empresarial']
148,grado medio,['grado']
149,jubilación parcial,['jubilación']
150,dirección,['direccion']
151,prescripción de la pena,"['rehabilitación', 'ejercicio de actuaciones judiciales', 'intervención del fiscal', 'acción penal', 'prescripción', 'normas de conducta']"
152,relación laboral especial,"['relación laboral', 'vínculo laboral', 'relación de trabajo']"
153,comisión,['puesta en servicio']
154,cometido,"['delegación', 'comisión', 'función']"
155,votación,"['voto electrónico', 'votación secreta', 'voto', 'voto por procuración', 'votación del presupuesto', 'papeleta de voto', 'última vuelta electoral']"
156,representante,"['representación legal', 'representante legal', 'representación jurídica']"
157,institución penitenciaria,"['prisión de alta seguridad', 'institución', 'institucion', 'institucional', 'instituciones']"
158,trabajador,"['empleado', 'miembro del personal', 'trabajo', 'empleo']"
159,capacidad profesional,['competencia profesional']
160,discriminación directa,"['discriminación', 'discriminación social', 'discriminación de género', 'discriminador', 'discriminatorio']"
161,derecho laboral,"['derecho del trabajo', 'derecho']"
162,principio de jerarquía normativa,['principio']
163,título universitario,"['titulación', 'valoración volumétrica', 'análisis volumétrico', 'valoración química', 'valoracion química', 'valoración', 'volumetría', 'titracion', 'valoracion volumetrica', 'titulacion', 'titración']"
164,oficina pública de empleo,['oficina pública']
165,acuerdo por escrito,"['contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
166,discriminación por razones de ideas políticas,"['discriminación', 'discriminación social', 'discriminación de género', 'discriminador', 'discriminatorio']"
167,órganos de administración de las empresas,['órgano de administración']
168,jornada completa,"['dedicación completa', 'jornada de trabajo', 'jornada laboral']"
169,acción de cesación,"['acción', 'programa de acción']"
170,accidente laboral,"['accidente de trabajo', 'accidentes del trabajo', 'accidentes de trabajo', 'accidente', 'probar con ejemplo', 'cobertura de riesgos de accidente', 'falacia dicto simpliciter', 'accidente falacia']"
171,condiciones de trabajo,"['cláusulas del contrato', 'condición']"
172,causas y efectos de la suspensión,['causa de la suspensión']
173,extinción del contrato por causas objetivas,"['despido objetivo', 'despido justificado', 'extinción del contrato', 'extinción de la relación laboral', 'despido']"
174,abandono del trabajo,"['absentismo laboral', 'ausencia de puesto de trabajo', 'trabajo', 'empleo']"
175,notario,"['notario público', 'fedatario público', 'notaria', 'secretario judicial', 'actuario']"
176,ámbito,"['scope', 'ámbito de una declaración', 'ámbito de validez', 'ámbito de validez de una declaración']"
177,trabajo diurno,"['trabajo', 'empleo']"
178,actividad por cuenta ajena,"['actividad asalariada', 'actividad laboral']"
179,trabajo de menores,"['trabajo', 'empleo']"
180,pensión,"['pensión (hospedaje)', 'posada secreta', 'casa de huéspedes']"
181,registro administrativo,"['administración', 'ubicación del organismo público']"
182,agente judicial,"['alguacil', 'secretario judicial', 'actuario']"
183,norma reglamentaria,"['norma legal', 'ley', 'ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
184,vehículo comercial,"['vehiculo comercial', 'comercio', 'pequeño comerciante']"
185,comité de empresa europeo,"['comité', 'procedimiento de comité', 'comité de empresa']"
186,capacidad jurídica,"['incapacidad jurídica', 'capacidad juridica', 'personalidad jurídica']"
187,titular,"['titular del cargo', 'titular del derecho']"
188,gestión,"['management', 'administración']"
189,autorización administrativa de la ett,"['autorización', 'permiso', 'consentimiento', 'aprobación', 'beneplácito', 'licencia', 'aceptación', 'administración', 'ubicación del organismo público']"
190,contrato fijo-discontinuo,"['contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
191,norma de producción,"['ley', 'ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
192,instrumento internacional,"['instrucción', 'disposición', 'reglamento', 'ordenanza']"
193,convocatoria,"['concurso-subasta', 'licitación', 'convocatoria de ofertas', 'concurso restringido', 'concurso público', 'subasta pública', 'pliego de condiciones generales', 'expediente de licitación', 'convocatoria de licitación', 'contrato público', 'objeto del contrato']"
194,jubilado,['jubilación']
195,ámbito estatal,['ámbito de aplicación']
196,fondo de garantía salarial,"['fogasa', 'salario', 'remuneración salarial', 'salario-hora profesional', 'salarial', 'tarifa de salarios', 'sueldo', 'jornal', 'nómina', 'salario móvil', 'honorarios', 'estipendio', 'salario por unidad de obra']"
197,formación práctica,"['formación', 'educación', 'enseñanza']"
198,fallecimiento,"['defunción', 'muerte']"
199,ámbito de aplicación,"['ámbito', 'scope', 'ámbito de una declaración', 'ámbito de validez', 'ámbito de validez de una declaración']"
200,relación laboral,"['vínculo laboral', 'relación de trabajo']"
201,duración del contrato,"['duración', 'duracion', 'vida', 'atención a personas dependientes']"
202,subsanación,"['rectificación', 'corrección', 'enmienda', 'modificación', 'reforma']"
203,adjudicación,['poder adjudicador']
204,minusválido,['trabajador minusválido']
205,organización del trabajo,['organización']
206,aval,"['fianza', 'aval bancario', 'avales']"
207,política de la vivienda,"['construcción de viviendas', 'política', 'politica', 'política pública', 'política gubernamental', 'políticas públicas']"
208,medida cautelar,"['medida preventiva', 'medida conservativa', 'medida', 'unidad de medida']"
209,legalidad,"['ilegalidad', 'legislación', 'vertiente jurídica']"
210,norma estatuaria,"['ley', 'ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
211,redistribución de la renta,"['salario', 'remuneración salarial', 'salario-hora profesional', 'salarial', 'tarifa de salarios', 'sueldo', 'jornal', 'nómina', 'salario móvil', 'honorarios', 'estipendio', 'salario por unidad de obra']"
212,jurisdicción social,"['jurisdicción laboral', 'jurisdicción del orden social', 'jurisdicción', 'sistema jurisdiccional', 'competencia judicial']"
213,elaboración del derecho de la ue,['procedimiento legislativo de la unión europea']
214,información al consumidor,"['consumidor', 'jrc', 'heterótrofo', 'plan de acción en favor de los consumidores', 'educación del consumidor', 'red para la solución extrajudicial de litigios de consumo', 'información', 'datos', 'informacion', 'información policial confidencial']"
215,trabajo atípico,"['trabajo', 'empleo']"
216,alta dirección,"['dirección', 'direccion']"
217,cláusula resolutoria,['cláusula']
218,notificación,['notificacion']
219,pacto individual,['pacto']
220,derecho mercantil,"['legislación comercial', 'derecho mercantil', 'derecho']"
221,excedencia,"['permiso por asuntos propios', 'exceder']"
222,sindicalismo,"['movimiento sindical', 'sindicato obrero']"
223,huelga,"['huelgas', 'paro laboral']"
224,recluso,['preso']
225,buena fe,"['rectitud', 'probidad', 'lealtad']"
226,plan de pensiones,"['subsidio de vejez', 'prestación social', 'asistencia social', 'prestación o transferencia social', 'pensión']"
227,análisis de políticas,"['análisis', 'examen', 'evaluación', 'estimación', 'apreciación', 'enjuiciamiento', 'valoración']"
228,transferencia de la empresa,"['transferencia', 'transferencia directa', 'transconexión', 'cesión de derecho', 'conexión en transferencia', 'cesion de derechos']"
229,cónyuge colaborador,"['categoría profesional', 'cónyuge', 'marido']"
230,procedimiento concursal,"['procedimiento de quiebra', 'procedimiento']"
231,discriminación,"['discriminación social', 'discriminación de género', 'discriminador', 'discriminatorio']"
232,conducta,"['código internacional de conducta', 'comportamiento']"
233,hora complementaria,"['horario de trabajo', 'hora de trabajo']"
234,derecho de la vivienda,"['derecho civil', 'derecho común']"
235,contractual,"['disposición del contrato', 'contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
236,conducta sancionable,"['conducta', 'código internacional de conducta', 'comportamiento']"
237,directivo,['profesión administrativa']
238,cuidado de la salud,['cura médica']
239,servicio retribuido,"['servicio', 'servicio económico', 'servicio economico']"
240,aplicar,"['un sistema de precios mínimos', 'en sustitución de los contingentes']"
241,mandato,"['orden de pago', 'libramiento', 'libranza', 'procuración']"
242,ley,"['ley marco', 'norma jurídica', 'reforma de la ley', 'ley constitutiva', 'recurso en interés de ley', 'redacción de la ley', 'ley aplicable', 'ley de patentes', 'propuesta de ley', 'rechazo de la ley', 'orden ministerial', 'infracción del código de tráfico', 'finura milesimal', 'interpretación judicial', 'norma', 'vigencia de la ley', 'comentario sobre un texto legislativo', 'ley electoral nacional', 'ley habilitante', 'violación de la ley', 'retroactividad']"
